Title,URL,Roles (keys),Subjects,Tags,Toggle,Layout,Date Modified,Date Created,Content Type,Source
"Page list table","/en/page-list-table/","","","","liste-des-pages-tableau","layouts/base.njk","2023-11-27","2023-10-12","Landing Page","./src/main/en/page-list-table.njk"
"Page list","/en/page-list/","","","","liste-des-pages","layouts/base.njk","2023-11-27","2023-10-10","Landing Page","./src/main/en/page-list.njk"
"How to create accessible documents in Microsoft 365","/en/how-to-create-accessible-documents-in-microsoft-365/","","howTos","createDocument","comment-creer-des-documents-accessibles-dans-microsoft-365","layouts/base.njk","2024-07-17","2023-10-27","Landing Page","./src/main/en/how-tos/microsoft-office/how-to-create-accessible-documents-in-microsoft-365.njk"
"How to create accessible documents in Office 2016","/en/how-to-create-accessible-documents-in-office-2016/","","howTos","createDocument","comment-creer-des-documents-accessibles-dans-office-2016","layouts/base.njk","2024-07-17","2023-10-16","Landing Page","./src/main/en/how-tos/microsoft-office/how-to-create-accessible-documents-in-office-2016.njk"
"Pages to review","/en/pages-to-review/","","","","pages-a-reviser","layouts/base.njk","2024-09-10","2024-09-06","Landing Page","./src/main/en/pages-to-review.njk"
"Website usage analytics - 2024","/en/website-usage-analytics-2024/","","","aboutUs","analytique-de-lutilisation-du-site-web-2024","layouts/base.njk","2025-01-28","2025-01-28","Landing Page","./src/main/en/about-us/website-usage-analytics/2024.njk"
"Website usage analytics - Data view","/en/website-usage-analytics-data-view/","","","aboutUs","analytique-de-lutilisation-du-site-web-visualisation-des-donnees","layouts/base.njk","2025-06-27","2024-10-24","Landing Page","./src/main/en/about-us/website-usage-analytics/data.njk"
"Website usage analytics","/en/website-usage-analytics/","","","aboutUs","analytique-de-lutilisation-du-site-web","layouts/base.njk","2025-06-27","2024-10-24","Landing Page","./src/main/en/about-us/website-usage-analytics/index.njk"
"Global Accessibility Standards","/en/global-accessibility-standards/","","","accessibilityFundamentals","normes-daccessibilite-mondiales","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/accessibility-fundamentals/global-accessibility-standards.njk"
"Accessibility Fundamentals","/en/accessibility-fundamentals/","","","main","principes-de-base-de-laccessibilite","layouts/base.njk","2025-06-27","2023-09-05","Landing Page","./src/main/en/accessibility-fundamentals/index.njk"
"Accessibility standards","/en/accessibility-standards/","","","accessibilityInTheGovernmentOfCanada","normes-daccessibilite","layouts/base.njk","2025-06-27","2023-09-19","Landing Page","./src/main/en/accessibility-in-the-government-of-canada/accessibility-standards.njk"
"Community Directory","/en/community-directory/","","","accessibilityInTheGovernmentOfCanada","repertoire-de-la-communaute","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/accessibility-in-the-government-of-canada/community-directory.njk"
"Digital accessibility in the Government of Canada","/en/digital-accessibility-in-the-government-of-canada/","","","main","accessibilite-numerique-au-gouvernement-du-canada","layouts/base.njk","2025-06-27","2023-09-05","Landing Page","./src/main/en/accessibility-in-the-government-of-canada/index.njk"
"Procurement","/en/procurement/","","","accessibilityInTheGovernmentOfCanada","approvisionnement","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/accessibility-in-the-government-of-canada/procurement.njk"
"Accessible virtual events","/en/accessible-virtual-events/","","","howTos","evenements-virtuels-accessibles","layouts/base.njk","2025-06-27","2023-11-28","Landing Page","./src/main/en/how-tos/accessible-virtual-events.njk"
"Create document","/en/create-document/","","","howTos","creer-un-document","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/how-tos/create-document.njk"
"Create forms","/en/create-forms/","","","howTos","creer-un-formulaire","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/how-tos/create-forms.njk"
"Create web content","/en/create-web-content/","","","howTos","creer-du-contenu-web","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/how-tos/create-web-content.njk"
"Design a course","/en/design-a-course/","","","howTos","concevoir-un-cours","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/how-tos/design-a-course.njk"
"Designing accessible services","/en/designing-accessible-services/","","","howTos","principes-de-conception-pour-des-services-accessibles","layouts/base.njk","2025-06-27","2023-10-26","Landing Page","./src/main/en/how-tos/designing-accessible-services.njk"
"How-tos","/en/how-tos/","","","main","comment-faire","layouts/base.njk","2025-06-27","2023-09-05","Landing Page","./src/main/en/how-tos/index.njk"
"Tip sheets for Microsoft office","/en/tip-sheets-for-microsoft-office/","","","createDocument; updatesMain","fiches-de-conseils-pour-microsoft-office","layouts/base.njk","2025-06-27","2024-08-30","Landing Page","./src/main/en/how-tos/ms-office-tip-sheets.njk"
"Test your products","/en/test-your-products/","","","howTos; updatesMain","testez-vos-produits","layouts/base.njk","2025-06-27","2023-09-07","Landing Page","./src/main/en/how-tos/test-your-products.njk"
"Accessibility in your role","/en/roles/","","","main","roles","layouts/base.njk","2025-09-04","2025-08-28","Landing Page","./src/main/en/roles/index.njk"
"About Us","/en/about-us/","","","","À propos de nous","layouts/base.njk","2025-09-19","2023-09-05","Landing Page","./src/main/en/about-us/index.njk"
"Most Common Types of Disability","/en/most-common-types-of-disability/","","","accessibilityFundamentals","Types de handicap les plus courants","layouts/base.njk","2025-09-19","2023-11-16","Landing Page","./src/main/en/accessibility-fundamentals/most-common-types-of-disability.njk"
"Digital Accessibility Toolkit","/en/","","","home","Boîte à outils de l&#39;accessibilité numérique","layouts/home.njk","2025-09-19","2023-08-31","Landing Page","./src/main/en/index.njk"
"Resources and Tools","/en/resources-and-tools/","","","main","Ressources et outils","layouts/base.njk","2025-09-19","2023-09-05","Landing Page","./src/main/en/resources-and-tools/index.njk"
"Resources","/en/resources/","","","","Ressources","layouts/base.njk","2025-09-19","2023-09-07","Landing Page","./src/main/en/resources-and-tools/resources.njk"
"Tools","/en/tools/","","","","Outils","layouts/base.njk","2025-09-19","2023-09-07","Landing Page","./src/main/en/resources-and-tools/tools.njk"
"Accessibility Testing 101","/en/accessibility-testing-101/","","howTos","testYourProducts","Test d’accessibilité 101","layouts/base.njk","2025-09-19","2023-11-25","Content Page","./src/pages/en/accessibility-testing-101.md"
"Additional resources on accessible meetings and events","/en/additional-resources-on-accessible-meetings-and-events/","","","","Ressources additionnelles sur les réunions et événements accessibles","layouts/base.njk","2025-09-19","2023-11-26","Content Page","./src/pages/en/additional-resources-on-accessible-meetings-and-events.md"
"Additional Resources","/en/additional-resources/","","","resourcesAndTools","Ressources additionnelles","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/additional-resources.md"
"Alternative text and long description – Best practices","/en/alternative-text-and-long-description-best-practices/","","howTos","createWebContent","Texte alternatif et description longue - Bonnes pratiques","layouts/base.njk","2025-09-19","2023-11-30","Content Page","./src/pages/en/alternative-text-and-long-description-best-practices.md"
"Audio Description Guidelines","/en/audio-description-guidelines/","","howTos","createWebContent","Directives pour la description sonore","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/audio-description-guidelines.md"
"Auditory Disabilities","/en/auditory-disabilities/","","accessibilityFundamentals","aboutDisabilities","Déficiences auditives","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/auditory-disabilities.md"
"Best practices for accessible virtual events","/en/best-practices-for-accessible-virtual-events/","","howTos","accessibleVirtualEvents; updatesMain","Bonnes pratiques pour les événements virtuels accessibles","layouts/base.njk","2025-09-19","2023-11-21","Content Page","./src/pages/en/best-practices-for-accessible-virtual-events.md"
"Canada School of Public Service (CSPS)","/en/canada-school-of-public-service-csps/","","accessibilityInTheGovernmentOfCanada","communityDirectory","École de la fonction publique du Canada (&lt;abbr&gt;EFPC&lt;/abbr&gt;)","layouts/base.njk","2025-09-19","2023-10-03","Content Page","./src/pages/en/canada-school-of-public-service-csps.md"
"Captioning Checklist","/en/captioning-checklist/","","howTos","createWebContent","Liste de contrôle pour le sous-titrage","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/captioning-checklist.md"
"Cognitive Disabilities","/en/cognitive-disabilities/","","accessibilityFundamentals","aboutDisabilities","Handicaps cognitifs","layouts/base.njk","2025-09-19","2023-09-08","Content Page","./src/pages/en/cognitive-disabilities.md"
"Contact us","/en/contact-us/","","","aboutUs","Contactez-nous","layouts/base.njk","2025-09-19","2023-11-22","Content Page","./src/pages/en/contact-us.md"
"Designing for users of screen readers","/en/designing-for-users-of-screen-readers/","","howTos","designingAccessible","Concevoir pour les utilisateurs de revues d’écran","layouts/base.njk","2025-09-19","2023-10-26","Content Page","./src/pages/en/design-accessible-services/designing-for-users-of-screen-readers.md"
"Designing for users on the autism spectrum","/en/designing-for-users-on-the-autism-spectrum/","","howTos","designingAccessible","Concevoir pour les utilisateurs dans le spectre de l&#39;autisme","layouts/base.njk","2025-09-19","2024-01-26","Content Page","./src/pages/en/design-accessible-services/designing-for-users-on-the-autism-spectrum.md"
"Designing for users who are deaf or hard of hearing","/en/designing-for-users-who-are-deaf-or-hard-of-hearing/","","howTos","designingAccessible","Concevoir pour les utilisateurs sourds ou malentendants","layouts/base.njk","2025-09-19","2023-10-26","Content Page","./src/pages/en/design-accessible-services/designing-for-users-who-are-deaf-or-hard-of-hearing.md"
"Designing for users with cognitive disabilities","/en/designing-for-users-with-cognitive-disabilities/","","howTos","designingAccessible","Principes de conception pour les utilisateurs avec handicap cognitif","layouts/base.njk","2025-09-19","2023-10-26","Content Page","./src/pages/en/design-accessible-services/designing-for-users-with-cognitive-disabilities.md"
